高中英语单词表3500词乱序版（带音标）
a  art.一（个、件……）
force  vt.强迫，迫使
human  a.人的，人类的
model  n.模型,原形,范例,模范
plain   a.家常的；普通的
restrict   v.限制
Shanghai   n.上海
something   pron.某事；某物
summer   n.夏天，夏季
tiny  adj. tinier,tiniest a.极小的，微小的
workday  n.工作日
attract   v.吸引，引起
alike   ad.很相似地，同样地
bit   n.一点，一些，少量的
China   *n.中国
discuss   vt.讨论，议论
expand  v.扩大，增加，扩展
forecast  n.&vt.预告
humanbeing  人
modem  n.调制解调器
plan  n.&v.计划，打算
restriction   n.限制，约束
shape   n.形状，外形v.使成型，制造，塑造
sometimes  ad.有时
sun   n.太阳，阳光
tip  n.&v.顶端，尖端；告诫；提示小费
worker  n.工人；工作者
contribution  n.贡献
alive   a.活着的，存在的
bite   v.咬；叮
Chinese   a.中国的；中国人的；中国话的，汉语的n.中国人；中国话，汉语，中文
discussion   n.讨论，辩论
expect  vt.预料；盼望；认为
forehead  n.前额
humorous  a.富于幽默的
modern  a.现代的
plane   n.飞机
result   n.结果，效果
share   vt.分享，共同使用
somewhere  ad.在某处
sunburnt   a.晒黑的
tire  vi.使疲劳
workforce  n.劳动力
all   ad.全部地a.全（部）;所有的;总;整pron.全部;全体人员
bitter   a.有苦味的；痛苦的，难过的；严酷的
chips   n.炸土豆条（片）
disease   n.病，疾病
expectation  n.预料；期望
foreign  a.外国的
humour  n.幽默,幽默感
modest  a.谦虚的；谦逊的
planet   n.行星
retell  vt.重讲，重复，复述
shark   n.鲨鱼
son   n.儿子
Sunday   n.星期日
tired  a.疲劳的，累的
workmate  n.同事；工友
allergic   a.过敏的，厌恶
black   n.黑色a.黑色的
chocolate   n.巧克力
disgusting   a.极糟的，令人不快的，令人厌恶的
expense  n.消费；支出
foreigner  n.外国人
hundred  num.百
Mom  n.妈妈
plant  vt.种植，播种n.植物
retire   v.退休
sharp   a.锋利的，尖的
song   n.歌唱；歌曲
sunglasses   n.太阳眼镜，墨镜
tiresomeva.令人厌倦的
workplace  n.工作场所，车间
alley   n.小巷，胡同
blackboard   n.黑板
choice   n.选择；抉择
dish   n.盘，碟；盘装菜；盘形物
expensive  a.昂贵的
foresee  vt.预见.预知
hunger  n.饥饿
moment  n.片刻，瞬间
plastic  a.塑料的
return   v.归还
sharpen   v.（使）变锐利，削尖
soon   ad.不久,很快,一会儿
sunlight   n.日光，阳光
tissue   n.（人，动植物的）组织，纸巾
works   n.著作，作品
allocate   v.拨给,划归,分配…给
blame   n.&v.责备；责怪
choir   n.合唱团，教堂的唱诗班
disc   n.磁盘
experience  n.经验；经历
forest  n.森林
hungry  a.（饥）饿的
mommy  n.妈妈（美）
plate   n.板；片；牌；盘子；盆子
reuse   vt.重新使用；循环使用
sharpener   n.削尖用的器具
sorrow   n.悲伤，悲痛
sunny   a.晴朗的;阳光充足的
title  n.标题，题目
world  n.世界
allow   vt.允许，准许
blank   n.&a.空格，空白（处）；空的；茫然无表情的
choke   n.&v.窒息
dislike   vt.不喜爱；厌恶
experiment  n.实验
forever  ad.永远；永恒的
hunt  vt.寻找；狩猎，猎取
Monday  n.星期一
platform   n.讲台,月台
review  vt.重新调查；回顾；复习n.复查；复习；评论
pencil-sharpener   转笔刀
sorry   a.对不起,抱歉;难过的
sunrise   n.黎明，拂晓
to  prep.（动词不定式符号，无词义）；（表示接受动作的人或物）给；对，向，到；在…之前
world-famous  a.世界闻名的
allowance   n.津贴，补助
blanket   n.毛毯，毯子
choose  vt.选择
dismiss   vt.让……离开；遣散；解散；解雇
expert  n.专家，能手
forget  v.忘记；忘掉
hunter  n.猎人
money  n.钱；货币
play   v.玩；打（球）；游戏；播放n.玩耍，戏剧
reviewer   n.评论者；书评家
shave  v.刮（脸，胡子）
sort  v] t.把…分类，拣选n.种类，类别
sunset   n.日落
toast  v./n.烤
worldwide  a.遍及全球的，世界范围的
almost   ad.几乎，差不多
bleed   vi.出血，流血
chopsticks   n.筷子
disobey   vt.不服从
explain  vt.解释，说明
forgetful  a.健忘的，不留心的
hurricane   n.飓风，十二级风
monitor  n.（班级内的）班长；纠察生；监视器
playroomn.游戏室
revision   n.复习，温习
shavern.电动剃须刀
so-so   a.一般；不怎么样；凑合
sunshine   n.阳光
tobacco  n.烟草，烟叶
worm  n.软体虫,蠕虫
alone   a.单独的，孤独的
bless   vt.保佑，降福
chorus   n.合唱曲，歌咏队
distance   n.距离
explanation  n.解释，说明
forgive  vt.原谅，宽恕
hurry   vi.赶快；急忙
monkey  n.猴子
player  n.比赛者，选手
revolution   n.革命，变革
she   pron.她
soul  n.灵魂；心灵；气魄
super   a.顶好的，超级的
today  ad.&n.今天;现在,当前
worn  a.用坏,用旧的,疲惫的
along   ad.向前；和…一起；一同prep.沿着；顺着
blind   a.瞎的
Christian   n.基督教徒和天主教徒的总称
distant   a.远的，遥远的
explicit   a.清楚明白,易于理解的
fork  n.叉，餐叉
hurt   vt.伤害，受伤；伤人感情
month  n.月，月份
playground  n.操场，运动场
reward   n.奖赏
sheep  n.（绵）羊；羊皮；驯服者
sound  vi.听起来,发出声音n.声音
superb   a.卓越的,质量极高的
together  ad.一起，共同
worried  a.担心的，烦恼的
alongside   ad.在…旁边,与…同时
block   n.大块；（木、石等）块；街区；路障vt.阻塞；阻挡
Christmas   n.圣诞节（12月25日）
distinction   n.差别,区别,优秀,卓越
explode   v.（使）爆炸
form  n.表格；形式；结构
husband   n.丈夫
monument  n.纪念碑，纪念物
playmate   n.玩伴
rewind   v.回转（磁带等）
sheet   n.成幅的薄片，薄板
soup  n.汤
superior   a.更胜一筹的n.上级，上司
toilet  n.厕所
worry  n.&v.烦恼,担忧,发怒,困扰
aloud   ad.大声地
blood   n.血，血液
Christmascard   圣诞卡
distinguish   v.区分，辨别，分清
exploitvt.开采.开发.利用.剥削
format  n.安排，计划，设计
hydrogen  n.氢
moon  n.月球；月光；月状物
pleasant  a.令人愉快的，舒适的
rewrite   vt.重写
shelf  n.架子；搁板；格层；礁；陆架
sour  a.酸的，馊的
superman   n.超人
Tokyo  n.东京
worse  a.更坏的
alphabet   n.字母表，字母
blouse   n.宽罩衫；（妇女、儿童穿的）短上衣
Christmastree   圣诞树
distribute   v.分发，分配
explore   v.探险
former  a.以前的，从前的；（两者之中的）前者
mooncake  n.月饼
please  v.请,使人高兴,使人满意
rhyme   n./v.押韵
shelter   n.掩蔽；隐蔽处
south  a.南的；向南的；从南来的ad.在南方；向南方；自南方n.南；南方；南风；南部
supermarket   n.超级市场
tolerate  v.容许，允许，忍受
worst  a.最坏的
already   ad.已经
blow   n.击；打击
ChristmasEve   圣诞（前）夜
district   n.区；地区；区域
explorer   n.探险者
fortnight  n.十四日，两星期
mop  n./v.拖把拖地
pleased  a.高兴的
rice   n.稻米；米饭
shine   n.光泽；光彩；阳光；晴天；光
southeast [‚saʊθ'ɪ:sn.东南
supper   n.晚餐，晚饭
tomato  n.西红柿，番茄
worth  a.有…的价值,值得…的
also   ad.也
blow   v.吹；刮风；吹气
church   n.教堂；教会
disturb   vt.扰乱；打扰
export  n./v.出口，输出
fortunate  a.幸运的；侥幸的
moral  a.道德的n.寓意,道德启示
pleasure  n.高兴，愉快
rich   a.富裕的，有钱的
shine  v.发光；照耀；杰出；擦亮
southern   a.南部的，南方的
supply   vt.&n.供给，供应
tomb  n.坟墓
worthless  a.没有价值,没有用的
alternative   a.可供替代,非传统的
blue   n.蓝色a.蓝色的a.悲伤的；沮丧的
cigar   n.雪茄烟
disturbing   a.令人不安的，引起恐慌的
expose   vt.揭露
fortune  n.财产；运气
more（much或many的比较级）   a./ad.另外的；附加的；较多的再；另外；而且；更n.更多的量；另外的一些
plenty  n.充足，大量
rid  vt.使摆脱
ship   n.船，轮船vi.用船装运
southwest  n.西南
support   vt.&n.支持，赞助
tomorrow  ad.&n.明天
worthwhile  a.值得做的
although   conj.虽然，尽管
board   n.木板；布告牌；委员会；（政府的）部v.上（船、火车、飞机）
cigarette   n.纸烟，香烟
dive   vi.跳水
express   vt.表达；表示；表情n.快车，特快专递
forty  num.四十
morning  n.早晨，上午
plot  v./n.故事情节，密谋
riddle   n.谜
shirt  vn.男衬衫
souvenirs  n.旅游纪念品,纪念物
suppose   vt.猜想,假定,料想
ton  n.（重量单位）吨
worthy  a.值得的
altitude   n.海拔高度
boat   n.小船，小舟
cinema   n.电影院；电影
diverse   v.不同的，多种多样，形形色色的
expression  n.表达；词句；表示，说法；表情
forward  ad.将来.今后.向前，前进
Moscow  n.莫斯科
plug  n.塞子vt.（用塞子）把…塞住
ridiculous   a.荒谬的，愚蠢的
shock   vt.使震惊
sow  vt.播种
supreme   a.至高无上的,最高的
tongue  n.舌，舌头
would  modalv.（will的过去时）将会，打算，想要，过去常常
altogether   ad.总共
boat-race   n.划船比赛
circle   n./vt.圆圈将…圈起来
divide   vt.分，划分
extension   n.扩大，延伸
found  vt.成立，建立
Moslem  n.伊斯兰教徒,回教徒
plus  prep.加，加上
ride  v.骑（马、自行车）；乘车n.乘车旅行
shoe   n.鞋
space  n.空间
sure   a.确信，肯定ad.的确，一定，当然
tonight  ad.&n.今晚，今夜
wound  vt.伤,伤害n.创伤,伤口
aluminium   n.（化）铝
boating   n.划船（游玩），泛舟bodyn.身体
circuit   n.环形路线，巡回赛
division   n.（算术用语）除
extra  a.额外的，外加的
founding  n.成立，建立
Mosquito  n.蚊子
PM  n.下午,午后
right   n.权利a.对,正确的ad.正确地,恰恰,完全地a.右,右边的
shoot  vt.射击，射中，发射n.嫩枝；苗；芽
spaceship  n.宇宙飞船
surface   n.表面
too  ad.也,还,又,太,过分,很,非常
wounded  a.受伤的
always   ad.总是；一直；永远
body-building   n.健美
circulate   v.（液体或气体）环流，循环
divorce   v.离婚
extraordinary  a.离奇的；使人惊奇的
fountain  n.喷泉
most  a.&ad.最多n.大部分,大多数
pocket  n.（衣服的）口袋
right-handed   a.惯用右手的
shooting   n.射击
spade   n.铲子;纸牌中的黑桃
surgeon   n.外科医生
tool  n.工具，器具
wrestle  v.摔跤
am v.be的人称形式之一
boil   v.沸腾；烧开；煮……
circumstance   n.条件,环境,状况
dizzy   a.头眩目晕的
extreme   a.极其的，非常的
four  num.四
mother  n.母亲
poem  n.诗
right-wing   n.右翼
shop  vi.买东西n.商店,车间
spaghettivn.意大利式面条
surplus   n.过剩，剩余
tooth  n.牙齿
wrinkle  n.皱纹
AM n.午前，上午
bomb   n.炸弹v.轰炸
circus   n.马戏团
do  v.&aux.做，干（用以构成疑问句及否定句。第三人称单数现在时用does）不做，不干
extremely   ad.极其，非常
fourteen  num.十四
motherland  n.祖国
poet  n.诗人
ring  v.（钟、铃等）响；打电话n.电话，铃声n.环形物（如环、圈、戒指等）
shopassistant  售货员
Spain*  n.西班牙
surprise   vt.使惊奇,使诧异n.惊奇,诧异
toothache  n.牙痛
wrist  n.手腕，腕关节
amateur   a.业余爱好的
bond   n./v.纽带，联系，使牢固
citizen   n.公民；居民
doctor   n.医生，大夫；博士
eye   n.眼睛
fourth  num.第四
motivation  n.（做事的）动机
point  v.指，指向n.点；分数
ring-road   n.环形公路
shopkeeper   n.店主，零售商人
Spanish  a.西班牙人的，西班牙的，西班牙语的n.西班牙语
toothbrush  n.牙刷
write  v.写，书写；写作，著述
amaze   v.惊奇，惊叹；震惊
bone   n.骨头，骨质（复数bones骨骼；骨骸）
city   n.市，城市，都市
document   n.文件；文献
eyesight  n.视力；视觉
fox  n.狐狸
motor  n.发动机，马达
poison  n.毒药
rigid   a.死板的,僵硬的,固执的
shopping   n.买东西
spare  a.空闲,多余的，剩余的
toothpaste  n.牙膏
writing  n.书写，写
amazing   a.惊奇,惊叹的;震惊的
bonus   n.津贴，奖金，红利
civil   a.国内的；平民（非军人）的；民用的
does v.动词do的第三人称单数现在式
eyewitness   n.目击证人
franc  n.法郎
motorbike  n.摩托车
poisonous  a.有毒的，致命的
ripe   a.成熟的，熟的
shore  n.滨，岸
sparrow  n.麻雀，雀型鸟类
top  n.顶部,（物体的）上面
wrong  a.错误,不正常,有毛病的
ambassador  n.大使
book   n.书；本子v.预定，定（房间、车票等）
civilian   n.平民，老百姓
dog   n.狗
France*  n.法国
motorcycle  n.摩托车
pole  n.杆，电线杆；
ripen  v.成熟
short   a.短的；矮的
speak  v.说，讲；谈话；发言
topic  n.题目，话题
ambiguous   a.模棱两可的
bookcase   n.书橱
civilization   n.文明
doll  n.玩偶，玩具娃娃
fragile  a.易碎的，易损的
motto   n.箴言，格言
theNorthPole [ðənɔ:θpəʊ（地球的）极，极地北（南）极
rise  vi.上升，上涨
shortcoming   n.缺点，短处
speaker  n.演讲人，演说家
tortoise  n.乌龟
ambition   n.目标,野心,雄心,抱负
bookmark   n.书签
clap   vi.拍手；鼓掌
dollar   n.元（美国、加拿大、澳大利亚等国货币单位）
fragrant  a.香的，芳香的
mountain  n.山，山脉
police  n.警察，警务人员
risk   n./v.危险，风险，冒险
spear  n.矛，枪，梭镖
total  a.总数的;总括的;完全的,全然的n.合计,总计v.合计为
ambulance   n.救护车
bookshelf n.书架
clarify   v.澄清，阐明
door   n.门
framework  n.（建筑物）框架，结构
mountainous   a.多山的
policeman  n.警察,巡警policewomann.女警察
river   n.江；河；水道；巨流
totally  ad.总合地，完全地
America   *n.美国；美洲
bookshop   n.书店
class   n.（学校的）班；年级；课
dormitory   n.学生宿舍（缩写式dorm）
free  a.自由，空闲的；免费的
mourn  vt.哀痛；哀悼
policy  n.政策，方针，原则
road  n.路，道路
touch  vt.触摸，接触
American   a.美国的；美国人的n.美国人
bookstore   n.书店
classic   a.一流的，典型的，有代表性的
dot  n.点，小点，圆点
freedom  n.自由
mouse  n.鼠，耗子；（计算机）鼠标
polish  v.擦亮n.擦光剂,亮光剂
roast   v.烤（肉）
tough  a.坚硬的；结实的；棘手的，难解的
among   prep.在…中间；在（三个以上）之间
boom   n./v.繁荣，轰鸣，激增
classical   a.传统的；古典的
double  a.两倍.双的n.两个.双
freeway  n.高速公路
moustache   n.小胡子
polite  a.有礼貌的,有教养的
rob   v.抢夺，抢劫
tour  n.参观,观光,旅行
amount   n./v.金额，数量，总计
boot   n.长统靴；靴
classify   v.分类，归类
doubt   n.&v.怀疑，疑惑
freeze  vi.结冰
mouth  n.嘴，口
political  a.政治的
robot  n.机器人
tourism  n.旅游业；观光
ample   a.足够的，丰裕的
booth   n.岗；（为某种用途而设的）亭或小隔间
classmate   n.同班同学
down   prep.沿着，沿…而下ad.向下
freezing  a.冻结的；极冷的
mouthful  n.满口，一口
politician  n.政治家
rock   n.岩石,大石头vt.摇,摇晃
tourist   vn.旅行者，观光者
amuse   vt.（使人）快乐，逗乐
telephonebooth  电话亭
classroom   n.教室
download   n.&v.下载
French  n.法语a法国的；法国人的；法语的
frommouthtomouthad.口口相传；人传人地
politics  n.政治
rocketn.火箭
tournament  n.锦标赛，联赛
amusement   n.娱乐
border  n.边缘；边境，国界
claw   n.爪
downstairs   ad.在楼下；到楼下
Frenchman  n.法国人（男）
move  v.移动，搬动，搬家
pollute  vt.污染
role   n.角色
toward  prep.向，朝，对于
analyze v.分析
bored a.（对人，事）厌倦的，烦闷的
clay   n.黏土，陶土
downtown   ad.往或在城市的商业区（或中心区、闹市区）n.城市的商业区，中心区，闹市区a.城市的商业区的，中心区的，闹市区的
frequent  a.经常的；频繁的
movement  n.运动，活动
pollution  n.污染
roll   v.滚动,打滚n.面包圈，小圆面包；卷状物
towel  n.毛巾
analysis   n.分析，分析结果
boring a.乏味的，无聊的
clean   vt.弄干净，擦干净a.清洁的，干净的
downward   ad.向下
fresh  a.新鲜的
movie  n.（口语）电影
pond  n.池塘
roller   n.滚筒；辊
tower  n.塔
ancestor   n.祖宗；祖先
born   a.出生
cleaner   n.清洁工.,清洁器.,清洁剂
dozen   n.十二个；几十，许多
Friday  n.星期五
Mr.  n.先生（用于姓名前）
pool  n.水塘，水池
rollerskatingn滑旱冰
town  n.城镇，城
anchor v./n.锚，抛锚
borrow  v.（向别人）借用；借
clear   a.清晰；明亮的；清楚的
Doctor n.医生，大夫；博士
friction  n.摩擦
Mrs.  n.夫人,太太（称呼已婚妇女）
poor  a.贫穷；可怜；不好的,差的
roof  n.屋顶，顶部
toy  n.玩具,玩物
ancient   a.古代的，古老的
boss   n.领班；老板
clearly   ad.清楚地，无疑地
draft   n./v.草稿，草案，起草，草拟
refrigerator  n.冰箱
Ms.  n.女士
popular  a.（音乐、艺术等）大众的，通俗的
room  n.房间,室;空间;地方
track  n.轨道；田径
and   conj.和；又；而
botanical  a.植物学的
clerk   n.书记员；办事员；职员
drag  v.拖；拽
fried  a.油煎的
much  a.许多的，大量的ad.非常；更加n.许多，大量，非常
popcorn  n.爆米花
rooster  n.公鸡
tractor  n.拖拉机
anecdote   n.逸事，趣闻
botany   n.植物；植物学
clever   a.聪明的，伶俐的
draw  v.绘画；绘制；拉，拖；提取（金钱）
friend  n.朋友
mud  n.泥,泥浆
popular  a.流行,大众,受欢迎的
root  n.根，根源，起源
trade  n.贸易vt.用…进行交换
anger   n.怒，愤怒
both  a.两；双pron.两者；双方
click   v.点击（计算机用语）
drawback   n.缺点，不利条件
friendly  a.友好的
muddy  a.泥泞的
population  n.人口，人数
rope  n.绳，索
tradition  n.传统，风俗
angle   n.角度
bottle  n.瓶子
climate   n.气候
drawer   n.抽屉
friendship  n.友谊，友情
multiply  vt.乘；使相乘
pork  n.猪肉
rose  n.玫瑰花
traditional  a.传统的，风俗的
angry   a.生气的，愤怒的
bottom  n.底部；底
climb   v.爬，攀登
drawing   n.图画，素描,绘画
fright   n.惊恐；恐吓
murder  vt.谋杀
porridge  n.稀饭，粥
rot  vi.烂；腐败
traffic  n.交通，来往车辆
animal   n.动物
bounce  v.弹起，蹦，上下晃动
clinic   n.诊所
dream   n.&vt.梦，梦想
frighten   vt.使惊恐，吓唬
museum  n.博物馆，博物院
port  n.港口，码头
rough  a.粗糙的，粗略的
trafficlights  n.交通指挥灯红绿灯
ankle   n.踝，踝关节
bound  a.被束缚的；被绑的；有义务的v.&n.跳跃
clock   n.钟
dress   n.女服，连衣裙；服装；童装v.穿衣；穿着
frog   n.青蛙
mushroom  n.蘑菇
portable  a.手提的，便携式的
round  ad.转过来prep.环绕一周，围着a.圆的；球形的
train  n.火车v.培训,训练
anniversary   n.周年纪念日
boundary   n.边界，界限
clone   n.克隆（无性繁殖出来的有机体群）
dryer  n.烘干机；吹风机
from   prep.从；从…起.距.来自
music  n.音乐，乐曲
porter  n.（火车站或旅馆处的）搬运工
roundabout  a.&n.绕道的，不直接的；转盘路
trainer  n.训练人；教练
announce   vt.宣布，宣告
bow  v.&n.鞠躬，弯腰行礼
close   a.亲密的；近，靠近ad.近，靠近vt.关，关闭
drill   n.钻头；（反复的）训练vt.钻，在…上钻孔；重复训练
front   a.前面的；前部的n.前面；前部；前线
musical  a.音乐的，爱好音乐的n.音乐片
position  n.位置
routine  n.常规,正常顺序,无聊
training  n.培训
announcement   n.通告，通知
bowl  n.碗
cloth   n.布
drink   n.饮料；喝酒
frontier   n.前沿，边界；前线
musician  n.音乐家，乐师
possess  vt.占有；拥有
row  n.（一）排,（一）行v.划船
tram  n.有轨电车
annoy   vt.（使）烦恼
bowling  n.保龄球
clothes   n.衣服；各种衣物
drink  v.喝，饮
frost   n.霜
mustmodal  v.必须,应当;必定是
possession  n.所有，拥有；财产，所有物
royal  a.皇家的，王室的，国王的，女王的
transform  v.使改变形态,使改观
annual   a.每年的，年度的，一年一次的
box  n.盒子，箱子
clothing   n.衣服
drive  v.驾驶，开（车）；驱赶
fruit   n.水果；果实
mustard  n.芥末，芥子粉
possibility  vn.可能，可能性
rubber  n.橡胶；合成橡胶
translate  vt.翻译
another   a.再一；另一；别的；不同的pron.另一个
boxing   n.拳击（运动）
cloud   n.云；云状物；阴影
driver  n.司机，驾驶员
fruitjuice   n.果汁
mutton  n.羊肉
possible  a.可能的
rubbish  n.垃圾；废物
translation  n.翻译；译文
answer   n.回答,答复;回信;答案v.回答,答复;回信;（作出）答案
boy  n.男孩
cloudy   a.多云的，阴天的
drop   n.滴v.掉下.落下.投递.放弃
fry   vt.用油煎；用油炸
my  pron.我的
possiblyvad.可能地，也许
rude  a.无理的,粗鲁的
transparent  a.透明的，清澈的
ant   n.蚂蚁
boycott   v.拒绝购买，抵制
club   n.俱乐部；纸牌中的梅花
drown   vi.溺死；淹没
fuel   n.燃料
myself  pron.我自己
post  n.邮政，邮寄，邮件v.投寄；邮寄
rugby  n.（英）橄榄球
translator  n.翻译家，译者
Antarctic  a.南极的
brain   n.脑（子）
clumsy   a.笨拙的，不灵巧的
drug   n.药，药物；毒品
full   a.满的，充满的；完全的
postage  n.邮费
ruin  vt.（使）毁坏；（使）毁灭n.废墟；遗迹
transport  n.&vt.运输
theAntarctic   南极
brake   n.闸vi.刹车
coach   n.教练；马车；长途车
drum   n.鼓
fun  n.有趣的事，娱乐，玩笑
postbox  n.邮箱
rule  n.规则,规定vt.统治,支配
trap  n.陷阱vt.使陷入困境
Antarctica   *n.南极洲
branch   n.树枝；分枝；分公司，分店；支部
coal   n.煤；煤块
drunk   a.醉的
function   n./v.作用,功能,运转
postcard  n.明信片
ruler  n.统治者；直尺
travel  n.&vi.旅行
antique   n.古董
brand   n.品牌
coast   n.海岸；海滨
dry   v.使…干；弄干；擦干a.干的；干燥的
fundamental   a.十分重大的，根本的
postcode  n.（英）邮政编码
run  vi.跑，奔跑；（颜色）褪色
traveler  n.旅行者
anxiety   n.担忧，焦虑
brave   a.勇敢的
coat   n.外套；涂层；表皮；皮毛vt.给……穿外套；涂上
duck   n.鸭子
funeral   n.葬礼
poster  n.招贴；广告
runner  n.赛跑者；操作者；滑行装置
treasure  n.金银财宝,财富
anxious   a.忧虑的，焦急的
bravery   n.勇气
cock   n.公鸡
due  a.预期的；约定的
funny   a.有趣的，滑稽可笑的
postman  n.邮递员
running  n.跑步
treat  vt.对待，看待
any   pron.（无论）哪一个；哪些任何的；（用于疑问句、否定句）一些；什么
bread   n.面包
cocoa   n.可可粉
dull  a.阴暗的；单调无味
fur   n.毛皮；皮子
postpone  vt.推迟，延期
rush  vi.冲，奔跑
treatment  n.治疗,疗法
anybody   pron.任何人，无论谁
break   n.间隙
coffee   n.咖啡
dumpling   n.饺子
furnished   a.配备了家具的
pot  n.锅，壶，瓶，罐
Russia  *n.俄罗斯，俄国
tree  n.树
anyhow   ad.不管怎样
break  v.打破（断，碎）；损坏，撕开
coin   n.硬币
during  prep.在…期间；在…过程中
furniture   n.（总称）家具
potato  n.土豆，马铃薯
Russian  a.俄国人的，俄语的n.俄国人，俄语
tremble  v.颤抖
anyone   pron.任何人，无论谁
breakfast   n.早餐
coincidence   n.巧合，巧事
dusk  n.黄昏
future   n.将来
potential  a.潜在的，可能的
trend  n.趋势，倾向，动态
anything   pron.什么事（物）；任何事（物）
breakthrough   n.重大进展，突破
coke  n.可口可乐
dust   n.灰尘，尘土
pound  n.磅；英镑
trial  n.审判；试验；试用
anywa   yad.不管怎样
breast   n.乳房，胸脯
cold   a.冷的，寒的n.寒冷；感冒，伤风
dustbin   n.垃圾箱
pour  vi.倾泻，不断流出
triangle  n.&adj.三角形;三角形的
anywhere   ad.任何地方
breath   n.气息；呼吸
cold-blooded   a.冷血的
dusty   a.尘土般的，尘土多的
powder  n.粉，粉末
trick  n.诡计，把戏
apart   ad,/a.相隔，相距，除外
breathe   vi.呼吸
collar   n.衣领；硬领
duty   n.责任，义务
power  n.力，动力，电力
trip  n.旅行，旅程
apartment   n.（美）楼中单元房，一套房间；房间
breathless   a.气喘吁吁的，上气不接下气的
colleague   n.同事
DVD  数码影碟
powerful  a.效力大的，强有力的，强大的
trolley-bus  n.无轨电车
apologize   vi.道歉，谢罪
brewery   n.啤酒厂（公司）
collect   vt.收集，搜集
Dynamic  a.充满活力,精力充沛的
practical  a.实际的，适用的
troopvvi.成群结队地走
apology   n.道歉；歉意
brick   n.砖；砖块
collection   n.收藏品，收集物
Dynasty  n.王朝，朝代
practicee  n.练习
troop  n.部队
apparent   a.显而易见
bride   n.新娘
college   n.学院；专科学校
prairie  n.大草原
trouble  vt.使苦恼,使忧虑,使麻烦n.问题,疾病,烦恼,麻烦
appeal   v.上诉，申诉，吸引力
bridegroom   n.新郎
collision   n.碰撞事故
praise  n.&vt.赞扬，表扬
troublesome  a.令人烦恼,讨厌
appear   vi.出现
bridge   n.桥
colour   n.颜色vt.给…着色，涂色
pray  v.祈祷；祈求
trousers  n.裤子，长裤
appearance   n.出现，露面；容貌
brief   a.简洁的
comb   n.梳子v.梳
prayer  n.祈祷
truck  n.卡车,运货车；车皮v.装车；用货车运
appendix  n.附录，阑尾
bright   a.明亮的；聪明的
combine   vt.使联合；使结合
precious  a.宝贵的,珍贵的
true  a.真的，真实的；忠诚的
appetite   n.食欲，胃口
brilliant   a.巧妙的，使人印象深刻的，技艺高的
come  vi.来，来到
precise  a.准确,精确的,确切的
truly  ad.真正地，真实地
applaud   v./n.鼓掌,赞许,赞赏
bring  vt.拿来，带来，取来
comedy   n.喜剧
predict  v.预言，预告，预报
trunk  n.树干；大箱子
apple   n.苹果
Britain   *n.英国；不列颠
comfort   n.安慰；慰问
prefer  vt.宁愿（选择）,更喜欢
trust  vt.相信，信任，信赖
applicant   n.申请人
British   a.英国的；大不列颠的；英国人的
comfortable   a.舒服的；安逸的；舒服自在的
preference  n.选择，趋向
truth  n.真理,事实,真相,实际
application   n.申请
theBritish   n.英国国民；大不列颠人
comma   n.逗号
pregnant  a.怀孕的
try  v.试，试图，努力
apply  v.申请
broad   a.宽的，宽大的
command   n.&v.命令
prejudice  n.偏见，成见
T-shirt  n.T恤衫
appoint   v.任命，委任，安排，确定（时间，地点）
broadcast   n.广播节目
comment   n.评论
premier  n.首相，总理
tube  n.管，管状物
appointment   n.约会
broadcast（broadcast,broadcast或-ed,-ed）  vt.广播
commericiala.贸易的，商业的
preparation  n.准备
tune  n.曲调，曲子
appreciate   v.欣赏；感激
brochure   n.资料（或广告）手册
commit   v.犯（罪，错），自杀
prepare  vt.准备,预备,调制,配制
Tuesday  n.星期二
appreciation   n.欣赏,鉴定,评估
broken   a.弄坏了的
commitment   n.承诺,允诺,承担
prescription  n.处方，药方
turkey  n.火鸡
approach   n./v.靠近，接近，建议，要求
broom   n.扫帚
committee  n.委员会
present  a.出现的，出席的n.礼物，赠品vt.呈奉，奉送
turn  v.旋转，翻转，转变，转弯n.轮流，（轮流的）顺序
appropriate   a.合适的，恰当的
brother   n.兄；弟
common   a.普通，一般；共有的
presentation  n.演示，演出
turningn  .拐弯处，拐角处
approve   v.赞成,同意,批准,通过
brotherhood   n.兄弟般的关系
communicate   v.交际；传达（感情，信息等）
preserve  v.保护，保留，保存
tutor   n.家庭教师，私人教师，导师
approximately   ad.近似，大约
brown   n.褐色，棕色a.褐色的，棕色的
communication   n.交际,交往;通讯
president  n.总统；主席
television  n.电视机
apron   n.（机场的）停机坪
brunch   n.早午饭（晚早饭）
communism   n.共产主义
press  vt.压,按n.新闻界,出版社
twelfth  num.第十二
arbitrary   a.随心所欲的，独裁的，专断的
brush   v.刷；擦n.刷子
communist   n.共产主义者a.共产党的；共产主义的
pressure  n.压迫,压力,压强
twelve  num.十二
arch   n.拱，拱门
bucket   n.铲斗；桶
companion   n.同伴；同事
pretend  vi.假装，装作
twentiethvnum.第二十
architect   n.建筑师，设计师
Buddhism   n.佛教
company   n.公司
pretty  a.漂亮的，俊俏的
twenty  num.二十
architecture   n.建筑学，建筑设计，风格
Buddhist   n.佛教徒
compare   vt.比较，对照
prevent  vt.防止,预防
twenty-first  num.第二十一
April   n.4月
budget   n.预算
compass   n.罗盘，指南针
preview  vt.预习;试演;预展
twenty-one  num.二十一
Arab   *a.阿拉伯的n.阿拉伯人
